Trial,Mode,ZScore,BetSide,BetSize,Outcome,Won,PnL,Bankroll
13109,DALEM,-0.730,UN,2.60,UN,True,2.60,115.00
13110,DALEM,-1.095,UN,2.40,OV,False,-2.40,112.60
13111,DALEM,-1.095,UN,2.60,OV,False,-2.60,110.00
13112,DALEM,-0.730,UN,2.80,UN,True,2.80,112.80
13113,DALEM,-0.730,UN,2.60,UN,True,2.60,115.40
13114,DALEM,-1.095,UN,2.40,OV,False,-2.40,113.00
13115,DALEM,-1.095,UN,2.60,OV,False,-2.60,110.40
13116,DALEM,-1.095,UN,2.80,OV,False,-2.80,107.60
13117,DALEM,-0.730,UN,3.00,OV,False,-3.00,104.60
13118,DALEM,-0.730,UN,3.20,UN,True,3.20,107.80
13119,DALEM,-0.730,UN,3.00,UN,True,3.00,110.80
13120,DALEM,-0.730,UN,2.80,OV,False,-2.80,108.00
13121,DALEM,-0.730,UN,3.00,UN,True,3.00,111.00
13122,DALEM,-0.730,UN,2.80,UN,True,2.80,113.80
13123,DALEM,-0.730,UN,2.60,UN,True,2.60,116.40
13124,DALEM,-1.095,UN,2.40,UN,True,2.40,118.80
13125,DALEM,-1.095,UN,2.20,UN,True,2.20,121.00
13126,DALEM,-1.095,UN,2.00,OV,False,-2.00,119.00
13127,DALEM,-0.730,UN,2.20,OV,False,-2.20,116.80
13128,DALEM,-0.365,UN,2.40,OV,False,-2.40,114.40
13129,DALEM,-0.365,UN,2.60,UN,True,2.60,117.00
13130,DALEM,-0.730,UN,2.40,OV,False,-2.40,114.60
13131,DALEM,-0.365,UN,2.60,OV,False,-2.60,112.00
13132,DALEM,0.000,UN,2.80,OV,False,-2.80,109.20
13133,DALEM,0.365,UN,3.00,UN,True,3.00,112.20
13134,DALEM,0.365,UN,2.80,OV,False,-2.80,109.40
13135,DALEM,0.730,UN,3.00,OV,False,-3.00,106.40
13136,DALEM,1.095,UN,3.20,UN,True,3.20,109.60
13137,DALEM,0.730,UN,3.00,OV,False,-3.00,106.60
13138,DALEM,0.730,UN,3.20,UN,True,3.20,109.80
13139,DALEM,0.365,UN,3.00,UN,True,3.00,112.80
13140,DALEM,0.365,UN,2.80,OV,False,-2.80,110.00
13141,DALEM,0.365,UN,3.00,UN,True,3.00,113.00
13142,DALEM,0.000,UN,2.80,UN,True,2.80,115.80
13143,DALEM,0.000,UN,2.60,OV,False,-2.60,113.20
13144,DALEM,0.365,UN,2.80,UN,True,2.80,116.00
13145,DALEM,0.000,UN,2.60,UN,True,2.60,118.60
13146,DALEM,-0.365,UN,2.40,UN,True,2.40,121.00
13147,DALEM,-0.730,UN,2.20,UN,True,2.20,123.20
13148,DALEM,-1.095,UN,2.00,OV,False,-2.00,121.20
13149,DALEM,-0.730,UN,2.20,OV,False,-2.20,119.00
13150,DALEM,-0.365,UN,2.40,UN,True,2.40,121.40
13151,DALEM,-0.730,UN,2.20,OV,False,-2.20,119.20
13152,DALEM,-0.365,UN,2.40,UN,True,2.40,121.60
13153,DALEM,-0.365,UN,2.20,UN,True,2.20,123.80
13154,DALEM,-0.365,UN,2.00,UN,True,2.00,125.80
13155,DALEM,-0.365,UN,1.80,UN,True,1.80,127.60
